enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
CMD-1002,SGDCSTX-003,,,157,77,8,0,0,0.00%,0,0,0,0,0,0,"Diff500-tcl-built_in-031: msg: 1, case: 1
Diff500-tcl-built_in-050: msg: 2, case: 2
Diff500-diff-built_in-018: msg: 5, case: 5
Diff500-tcl-built_in-022: msg: 3, case: 3",,"Diff500-tcl-built_in-031: msg: 1, case: 1
Diff500-tcl-built_in-050: msg: 2, case: 2
Diff500-diff-built_in-018: msg: 5, case: 5
Diff500-tcl-built_in-022: msg: 3, case: 3",,,
CMD-1005,SGDCSTX-004,,,23,21,0,0,0,0.00%,0,0,0,0,0,0,,,"Diff197-diff39-SGDC_waive_message: msg: 2, case: 2",,,
CMD-1005,SGDCSTX_011,,,23,21,0,0,0,0.00%,10,10,0,0,0,0.00%,,,"Diff197-diff39-SGDC_waive_message: msg: 2, case: 2",,,
CMD-1005,SGDC_qualifier09,,,23,21,0,0,0,0.00%,48,34,2,0,0,0.00%,,"Diff197-diff39-SGDC_waive_message: msg: 2, case: 2","Diff197-diff39-SGDC_waive_message: msg: 2, case: 2",,,
CMD-1005,SGDC_qualifier15,,,23,21,0,0,0,0.00%,12,11,0,0,0,0.00%,,,"Diff197-diff39-SGDC_waive_message: msg: 2, case: 2",,,
CMD-1006,SGDCSTX-004,,,56,48,0,0,0,0.00%,0,0,0,0,0,0,,,"Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDCSTX_008,,,56,48,0,0,0,0.00%,121,87,1,0,0,0.00%,,"Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDCSTX_019,,,56,48,0,0,0,0.00%,17,17,0,0,0,0.00%,,,"Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDC_qualifier15,,,56,48,0,0,0,0.00%,12,11,0,0,0,0.00%,,,"Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1007,SGDCSTX_008,,,26,12,0,0,0,0.00%,121,87,1,0,0,0.00%,,"Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1007,checkSGDC_nottogether01,,,26,12,0,0,0,0.00%,25,11,0,0,0,0.00%,,,"Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1016,SGDCSTX_008,,,81,56,0,0,0,0.00%,121,87,1,0,0,0.00%,,"Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1016,SGDCSTX_011,,,81,56,0,0,0,0.00%,10,10,0,0,0,0.00%,,,"Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-2085,SGDCSTX_007,,,13,8,1,0,0,0.00%,23,11,0,0,0,0.00%,"Diff500-bug-built_in-005: msg: 1, case: 1",,"Diff500-bug-built_in-005: msg: 1, case: 1",,,
ReadFailed,SGDCSTX_019,,,33,33,0,0,0,0.00%,17,17,0,0,0,0.00%,,,,,,
ReadFailed,SGDCSTX_020,,,33,33,0,0,0,0.00%,22,22,0,0,0,0.00%,,,,,,
CmdInvalid,SGDCSTX_002,,,26,26,3,0,0,0.00%,28,23,5,0,0,0.00%,"pass-s-outside_spec: msg: 1, case: 1
Diff500-tcl-built_in-015: msg: 2, case: 2
Diff500-tcl-built_in-022: msg: 2, case: 2","Diff500-tcl-built_in-022: msg: 5, case: 3","Diff500-tcl-built_in-022: msg: 7, case: 5
pass-s-outside_spec: msg: 1, case: 1
Diff500-tcl-built_in-015: msg: 2, case: 2",,,
CmdNoOptionInput,SGDC_cdc_false_path05,,,5,3,0,0,0,0.00%,9,5,0,0,0,0.00%,,,,,,
CmdOptionValueInvalid,SGDCSTX_008,,,307,176,142,0,0,0.00%,121,87,1,0,0,0.00%,"Diff134-diff21-abstract_vclk: msg: 24, case: 12
pass-s-outside_spec: msg: 38, case: 19
Diff500-bug-built_in-016: msg: 1, case: 1
Diff500-diff-built_in-017: msg: 1, case: 1
Diff197-diff39-SGDC_waive_message: msg: 75, case: 66
Diff500-diff-built_in-052: msg: 1, case: 1
Diff199-bug47-reset_synchronizer: msg: 1, case: 1
Diff500-bug-built_in-019: msg: 1, case: 1","Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-tcl-built_in-022: msg: 5, case: 3
Diff134-diff21-abstract_vclk: msg: 46, case: 30
pass-s-outside_spec: msg: 38, case: 19
Diff500-bug-built_in-032: msg: 11, case: 6
Diff500-bug-built_in-016: msg: 1, case: 1
Diff500-diff-built_in-017: msg: 1, case: 1
Diff500-diff-built_in-061: msg: 2, case: 2
Diff500-tcl-built_in-015: msg: 4, case: 2
Diff197-diff39-SGDC_waive_message: msg: 150, case: 66
Diff500-diff-built_in-052: msg: 1, case: 1
Diff199-bug47-reset_synchronizer: msg: 1, case: 1
Diff500-line_no-built_in-048: msg: 1, case: 1
Diff500-bug-built_in-019: msg: 1, case: 1",,,
